SEGMENT,Ln,Field Label,From,To,Size,Type,Description (Remarks)
Common Detail,,Discharge Sequential Number,1,14,14,NUM,Sequential number for identifying discharges.
,,Continuation Indicator,15,15,1,NUM,Continuation Type
,,Record Sequence Number,16,18,3,NUM,The records sequence within the discharge
,,Record Sequence Count,19,21,3,NUM,Number of Records in the Discharge
,,Filler,22,93,72,A/N,
Patient Segment,,Patient Birth Date ,94,99,6,NUM,Date of Birth (YYYYMM)
,,Filler,100,101,2,A/N,
,,Age,102,104,3,NUM,Calculated Age
,,Age in Days ,105,107,3,NUM,Where Age=0; Calculated Age in Days
,,Patient Sex,108,108,1,A/N,"Patient's Sex; M, F, or U"
,,Patient Race,109,110,2,A/N,Patient's Race Code
,,Patient Ethnicity,111,111,1,A/N,Patient's Ethnicity Code
,,Filler,112,147,36,A/N,
,,Patient City,148,162,15,A/N,Patient's City
,,Patient State,163,164,2,A/N,Patient State
,,Patient Zip Code,165,169,5,A/N,Patient Zip Code
,,Filler,170,173,4,A/N,
,,Patient County Code,174,175,2,NUM,Patient County Code
,,SPARCS Region Code,176,177,2,A/N,Region Code
Newborn Segment,,Newborn Flag,178,178,1,A/N,Flag Indicating Newborn Discharge
,,Filler,179,195,17,A/N,
,,Newborn Birth Weight,196,199,4,NUM,Newborn's Birth Weight
Facility Segment,,Facility Identifier,200,205,6,A/N,Facility Identifier (PFI); redacted for Abortion records
,,Facility Identifier Check Digit,206,206,1,A/N,PFI Check Digit
,,Facility Name,207,276,70,A/N,Facility Name; redacted for Abortion records
,,Health Service Area,277,277,1,NUM,Health Service Area
,,Facility County,278,279,2,NUM,Hospital County
,,Operating Certificate Number,280,286,7,NUM,Operating Certificate Number; redacted for Abortion records
,,National Provider ID,287,296,10,NUM,National Provider ID
Physician Segment,,Attending Provider State License Number,297,304,8,A/N,Attending Physician ID; redacted for Abortion records
,,Operating Physician State License Number,305,312,8,A/N,Operating Physician ID; redacted for Abortion records
,,Other Physician State License Number,313,320,8,A/N,Other Physician ID;  redacted for Abortion records
Payer Segment,1,Source of Payment Typology 1,321,325,5,NUM,Payor Classification 
,2,Source of Payment Typology 2,326,330,5,NUM,Payor Classification 
,3,Source of Payment Typology 3,331,335,5,NUM,Payor Classification 
,1,Source of Payment 1,336,336,1,A/N,Type of Insurance
,,Claim Filing Indicator Code 1,337,338,2,A/N,Type of Insurance; X-12 codes
,,Filler,339,357,19,A/N,
,,Payer ID Number 1,358,365,8,A/N,NIAC ID Number for Insurance Company
,,Covered Days 1,366,369,4,NUM,Days Covered by Insurance
,,Non-Covered Days 1,370,373,4,NUM,Days Not Covered by Insurance
,,Billing Provider NPI 1,374,386,13,A/N,Insurance Company's ID for Facility
,,Alternate Level of Care Days 1,387,390,4,NUM,Alternate Care Days
,,Leave of Absence (LOA) Days 1,391,394,4,NUM,Leave of Absence Days
,2,Source of Payment 2,395,395,1,A/N,Type of Insurance
,,Claim Filing Indicator Code 2,396,397,2,A/N,Type of Insurance; X-12 codes
,,Filler,398,416,19,A/N,
,,Payer ID Number 2,417,424,8,A/N,NIAC ID Number for Insurance Company
,,Covered Days 2,425,428,4,NUM,Days Covered by Insurance
,,Non-Covered Days 2,429,432,4,NUM,Days Not Covered by Insurance
,,Billing Provider NPI 2,433,445,13,A/N,Insurance Company's ID for Facility
,,Alternate Level of Care Days 2,446,449,4,NUM,Alternate Care Days
,,Leave of Absence (LOA) Days 2,450,453,4,NUM,Leave of Absence Days
,3,Source of Payment 3,454,454,1,A/N,Type of Insurance
,,Claim Filing Indicator Code 3,455,456,2,A/N,Type of Insurance; X-12 codes
,,Filler,457,475,19,A/N,
,,Payer ID Number 3,476,483,8,A/N,NIAC ID Number for Insurance Company
,,Covered Days 3,484,487,4,NUM,Days Covered by Insurance
,,Non-Covered Days 3,488,491,4,NUM,Days Not Covered by Insurance
,,Billing Provider NPI 3,492,504,13,A/N,Insurance Company's ID for Facility
,,Alternate Level of Care Days 3,505,508,4,NUM,Alternate Care Days
,,Leave of Absence (LOA) Days 3,509,512,4,NUM,Leave of Absence Days
,4,Source of Payment 4,513,513,1,A/N,Type of Insurance
,,Claim Filing Indicator Code 4,514,515,2,A/N,Type of Insurance; X-12 codes
,,Filler,516,534,19,A/N,
,,Payer ID Number 4,535,542,8,A/N,NIAC ID Number for Insurance Company
,,Covered Days 4,543,546,4,NUM,Days Covered by Insurance
,,Non-Covered Days 4,547,550,4,NUM,Days Not Covered by Insurance
,,Billing Provider NPI 4,551,563,13,A/N,Insurance Company's ID for Facility
,,Alternate Level of Care Days 4,564,567,4,NUM,Alternate Care Days
,,Leave of Absence (LOA) Days 4,568,571,4,NUM,Leave of Absence Days
,5,Source of Payment 5,572,572,1,A/N,Type of Insurance
,,Claim Filing Indicator Code 5,573,574,2,A/N,Type of Insurance; X-12 codes
,,Filler,575,593,19,A/N,
,,Payer ID Number 5,594,601,8,A/N,NIAC ID Number for Insurance Company
,,Covered Days 5,602,605,4,NUM,Days Covered by Insurance
,,Non-Covered Days 5,606,609,4,NUM,Days Not Covered by Insurance
,,Billing Provider NPI 5,610,622,13,A/N,Insurance Company's ID for Facility
,,Alternate Level of Care Days 5,623,626,4,NUM,Alternate Care Days
,,Leave of Absence (LOA) Days 5,627,630,4,NUM,Leave of Absence Days
