Class,Ln,Field Label,From,To,Size,Type,Description (Remarks)
Link Info,,EDIT-DISCHARGE-NUM,1,14,14,NUM,Discharge Number
,,EDIT-CONTINUATION-TYPE,15,15,1,NUM,Continuation Type
,,EDIT-RECORD-SEQUENCE,16,18,3,NUM,Record Sequence
,,EDIT-SEQUENCE-COUNT,19,21,3,NUM,Record Sequence Count
,,Filler,22,52,31,,
Service,8,Revenue Code,53,56,4,A/N,NUBC Revenue Code
"8, 19, 30, 41, 52, 63, 74, 85,",,Type of Revenue Code,57,57,1,A/N,Revenue Type
"96, 107, 118, 129, 140, 151,",,Procedure Code; CPT-4/HCPC,58,62,5,A/N,CPT-4/HCPCS Code
"162, 173, 184, 195, 206, 217,",,Procedure Code Modifier 1,63,64,2,A/N,Code Modifier 1
"228, 239, 250, 261, 272, 283,",,Procedure Code Modifier 2,65,66,2,A/N,Code Modifier 2
"294, 305, 316, 327, 338, 349,",,Charge of Service,67,76,10,NUM,Total Charge 
"360, 371, 382, 393, 404, 415,",,Type of Unit,77,78,2,A/N,Unit Type
"426, 437, 448, 459, 470, 481,",,Quantity,79,86,8,NUM,Unit Quantity
"492, 503, 514, 525, 536, 547,",,Non-Covered Charge of Service,87,96,10,NUM,Non-covered Charge
"558, 569, 580, 591, 602, 613,",,Service From Date,97,102,6,A/N,Service From Date
"624, 635, 646, 657, 668, 679,",,Filler,103,104,2,A/N,
"690, 701, 712, 723, 734, 745,",,Pre-visit Procedure Indicator,105,105,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"756, 767, 778, 789, 800, 811,",R,Line item number,106,108,3,A/N,Line item number
"822, 833, 844, 855, 866, 877,",,Visit ID,109,111,3,A/N,Visit ID
"888, 899, 910, 921, 932, 943,",,Lines in Visit,112,114,3,A/N,Lines in Visit
"954, 965, 976, 987, 998",,Visit Date,115,120,6,A/N,Visit Date
,,Filler,121,122,2,A/N,
,,Visit Processed Flag,123,123,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,124,133,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,134,135,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,136,142,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,143,147,5,A/N,Final APG Assignment
,,Final APG Type,148,149,2,A/N,Final APG Type
,,Final APG Category,150,151,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,152,152,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,153,153,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,154,154,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,155,155,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,156,157,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,158,158,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,159,159,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,160,160,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,161,161,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,162,163,2,A/N,Line Item Action Flag
,Y,Item ID number,164,166,3,A/N,Item ID number
